Company,Company Path,Industry,Country,employees,marketcap,revenue,earnings,operating-margin,total-assets,total-liabilities,total-debt,net-assets,pe-ratio,ps-ratio
Amazon,https://companiesmarketcap.com/amazon,Technology,USA,1500000,$1.966 Trillion,$574.78 B,$40.73 B,-1.15%,$527.85 B,$325.97 B,$135.61 B,$201.87 B,96.5,3.42
Foxconn (Hon Hai Precision Industry),https://companiesmarketcap.com/foxconn,Technology,Taiwan,826608,$65.17 Billion,$198.32 B,$6.16 B,2.55%,$128.40 B,$73.44 B,$30.73 B,$54.95 B,16.1,0.3255
Jingdong Mall,https://companiesmarketcap.com/jingdong-mall,Technology,China,450679,,,,,,,,,,
IBM,https://companiesmarketcap.com/ibm,Technology,USA,288300,,,,,,,,,,
Panasonic,https://companiesmarketcap.com/panasonic,Technology,Japan,232527,,,,,,,,,,
Alibaba,https://companiesmarketcap.com/alibaba,Technology,China,224955,,,,,,,,,,
Microsoft,https://companiesmarketcap.com/microsoft,Technology,USA,221000,,,,,,,,,,
Alphabet (Google),https://companiesmarketcap.com/alphabet-google,Technology,USA,182381,,,,,,,,,,
Canon,https://companiesmarketcap.com/canon,Technology,Japan,180775,,,,,,,,,,
Oracle,https://companiesmarketcap.com/oracle,Technology,USA,164000,,,,,,,,,,
Apple,https://companiesmarketcap.com/apple,Technology,USA,161000,,,,,,,,,,
Schneider Electric,https://companiesmarketcap.com/schneider-electric,Technology,France,135000,,,,,,,,,,
Dell,https://companiesmarketcap.com/dell,Technology,USA,133000,,,,,,,,,,
Tesla,https://companiesmarketcap.com/tesla,Technology,USA,127855,,,,,,,,,,
Genpact,https://companiesmarketcap.com/genpact,Technology,Bermuda,127000,,,,,,,,,,
Intel,https://companiesmarketcap.com/intel,Technology,USA,120300,,,,,,,,,,
NEC Corp,https://companiesmarketcap.com/nec-corp,Technology,Japan,118527,,,,,,,,,,
Sony,https://companiesmarketcap.com/sony,Technology,Japan,113000,,,,,,,,,,
SAP,https://companiesmarketcap.com/sap,Technology,Germany,106495,,,,,,,,,,
Tencent,https://companiesmarketcap.com/tencent,Technology,China,105309,,,,,,,,,,
Ericsson,https://companiesmarketcap.com/ericsson,Technology,Sweden,101351,,,,,,,,,,
ASE Group,https://companiesmarketcap.com/ase-group,Technology,Taiwan,93289,,,,,,,,,,
Meituan,https://companiesmarketcap.com/meituan-dianping,Technology,China,91932,,,,,,,,,,
TE Connectivity,https://companiesmarketcap.com/te-connectivity,Technology,Switzerland,90000,,,,,,,,,,
IQVIA,https://companiesmarketcap.com/iqvia,Technology,USA,87000,,,,,,,,,,
Nokia,https://companiesmarketcap.com/nokia,Technology,Finland,86896,,,,,,,,,,
Cisco,https://companiesmarketcap.com/cisco,Technology,USA,84900,,,,,,,,,,
Lenovo,https://companiesmarketcap.com/lenovo,Technology,Hong Kong,77000,,,,,,,,,,
Murata Manufacturing (Murata Seisakusho),https://companiesmarketcap.com/murata-seisakusho,Technology,Japan,73164,,,,,,,,,,
Telus International,https://companiesmarketcap.com/telus-international,Technology,Canada,73045,,,,,,,,,,
Lufax,https://companiesmarketcap.com/lufax,Technology,China,71034,,,,,,,,,,
Salesforce,https://companiesmarketcap.com/salesforce,Technology,USA,70843,,,,,,,,,,
Fidelity National Information Services,https://companiesmarketcap.com/fidelity-national-information-services,Technology,USA,69000,,,,,,,,,,
Meta Platforms (Facebook),https://companiesmarketcap.com/meta-platforms,Technology,USA,66185,,,,,,,,,,
Sea (Garena),https://companiesmarketcap.com/sea,Technology,Singapore,63800,,,,,,,,,,
Automatic Data Processing,https://companiesmarketcap.com/automatic-data-processing,Technology,USA,63000,,,,,,,,,,
Coupang,https://companiesmarketcap.com/coupang,Technology,S. Korea,63000,,,,,,,,,,
Hewlett Packard Enterprise,https://companiesmarketcap.com/hewlett-packard-enterprise,Technology,USA,60200,,,,,,,,,,
Conduent,https://companiesmarketcap.com/conduent,Technology,USA,59000,,,,,,,,,,
Infineon,https://companiesmarketcap.com/infineon,Technology,Germany,58590,,,,,,,,,,
HP,https://companiesmarketcap.com/hp,Technology,USA,58000,,,,,,,,,,
EPAM Systems,https://companiesmarketcap.com/epam-systems,Technology,USA,54600,,,,,,,,,,
STMicroelectronics,https://companiesmarketcap.com/stmicroelectronics,Technology,Switzerland,51370,,,,,,,,,,
QUALCOMM,https://companiesmarketcap.com/qualcomm,Technology,USA,50000,,,,,,,,,,
Sopra Steria Group,https://companiesmarketcap.com/sopra-steria-group,Technology,France,49690,,,,,,,,,,
Delivery Hero,https://companiesmarketcap.com/delivery-hero,Technology,Germany,47208,,,,,,,,,,
Leidos,https://companiesmarketcap.com/leidos,Technology,USA,47000,,,,,,,,,,
Constellation Software,https://companiesmarketcap.com/constellation-software,Technology,Canada,45000,,,,,,,,,,
Micron Technology,https://companiesmarketcap.com/micron-technology,Technology,USA,43000,,,,,,,,,,
Baidu,https://companiesmarketcap.com/baidu,Technology,China,41300,,,,,,,,,,
Fiserv,https://companiesmarketcap.com/fiserv,Technology,USA,41000,,,,,,,,,,
MercadoLibre,https://companiesmarketcap.com/mercadolibre,Technology,Argentina,40548,,,,,,,,,,
ASML,https://companiesmarketcap.com/asml,Technology,Netherlands,39850,,,,,,,,,,
NXP Semiconductors,https://companiesmarketcap.com/nxp-semiconductors,Technology,Netherlands,34500,,,,,,,,,,
Applied Materials,https://companiesmarketcap.com/applied-materials,Technology,USA,34300,,,,,,,,,,
Sanmina,https://companiesmarketcap.com/sanmina,Technology,USA,34000,,,,,,,,,,
LG Electronics,https://companiesmarketcap.com/lg-electronics,Technology,S. Korea,33716,,,,,,,,,,
Seagate Technology,https://companiesmarketcap.com/seagate,Technology,Ireland,33400,,,,,,,,,,
Xiaomi,https://companiesmarketcap.com/xiaomi,Technology,China,33038,,,,,,,,,,
Texas Instruments,https://companiesmarketcap.com/texas-instruments,Technology,USA,33000,,,,,,,,,,
Asseco,https://companiesmarketcap.com/asseco,Technology,Poland,32750,,,,,,,,,,
Trip.com,https://companiesmarketcap.com/trip-dot-com,Technology,China,32202,,,,,,,,,,
Rakuten,https://companiesmarketcap.com/rakuten,Technology,Japan,32079,,,,,,,,,,
Uber,https://companiesmarketcap.com/uber,Technology,USA,32000,,,,,,,,,,
Amkor Technology,https://companiesmarketcap.com/amkor-technology,Technology,USA,31300,,,,,,,,,,
NetEase,https://companiesmarketcap.com/netease,Technology,China,31119,,,,,,,,,,
ON Semiconductor,https://companiesmarketcap.com/on-semiconductor,Technology,USA,31000,,,,,,,,,,
Lumen,https://companiesmarketcap.com/lumen,Technology,USA,30000,,,,,,,,,,
Amdocs,https://companiesmarketcap.com/amdocs,Technology,USA,30000,,,,,,,,,,
PayPal,https://companiesmarketcap.com/paypal,Technology,USA,29900,,,,,,,,,,
Jubilant FoodWorks,https://companiesmarketcap.com/jubilant-foodworks,Technology,India,29346,,,,,,,,,,
Adobe,https://companiesmarketcap.com/adobe,Technology,USA,29239,,,,,,,,,,
Unimicron,https://companiesmarketcap.com/unimicron,Technology,Taiwan,29235,,,,,,,,,,
SS&C Technologies,https://companiesmarketcap.com/ssc-technologies,Technology,USA,27600,,,,,,,,,,
Globant,https://companiesmarketcap.com/globant,Technology,Luxembourg,27505,,,,,,,,,,
Global Payments,https://companiesmarketcap.com/global-payments,Technology,USA,27000,,,,,,,,,,
NVIDIA,https://companiesmarketcap.com/nvidia,Technology,USA,26196,,,,,,,,,,
Analog Devices,https://companiesmarketcap.com/analog-devices,Technology,USA,26000,,,,,,,,,,
Coherent,https://companiesmarketcap.com/coherent,Technology,USA,26000,,,,,,,,,,
Yonyou,https://companiesmarketcap.com/yonyou,Technology,China,25696,,,,,,,,,,
Kuaishou Technology,https://companiesmarketcap.com/kuaishou-technology,Technology,China,25445,,,,,,,,,,
AMD,https://companiesmarketcap.com/amd,Technology,USA,25000,,,,,,,,,,
Dassault Systèmes,https://companiesmarketcap.com/dassault-systemes,Technology,France,24753,,,,,,,,,,
TietoEVRY,https://companiesmarketcap.com/tietoevry,Technology,Finland,24539,,,,,,,,,,
OpenText,https://companiesmarketcap.com/opentext,Technology,Canada,24050,,,,,,,,,,
Vishay Intertechnology,https://companiesmarketcap.com/vishay-intertechnology,Technology,USA,23900,,,,,,,,,,
Rohm,https://companiesmarketcap.com/rohm,Technology,Japan,23743,,,,,,,,,,
Booking Holdings (Booking.com),https://companiesmarketcap.com/booking-holdings,Technology,USA,23450,,,,,,,,,,
Align Technology,https://companiesmarketcap.com/align-technology,Technology,USA,22680,,,,,,,,,,
Microchip Technology,https://companiesmarketcap.com/microchip-technology,Technology,USA,22600,,,,,,,,,,
SMIC,https://companiesmarketcap.com/smic,Technology,China,21619,,,,,,,,,,
Diebold Nixdorf,https://companiesmarketcap.com/diebold-nixdorf,Technology,USA,21000,,,,,,,,,,
Renesas Electronics,https://companiesmarketcap.com/renesas-electronics,Technology,Japan,20996,,,,,,,,,,
Wolters Kluwer,https://companiesmarketcap.com/wolters-kluwer,Technology,Netherlands,20921,,,,,,,,,,
DiDi,https://companiesmarketcap.com/didi,Technology,China,20870,,,,,,,,,,
Ubisoft,https://companiesmarketcap.com/ubisoft,Technology,France,20665,,,,,,,,,,
